Identifier,Identifier_Status,Announcement_Type,Announcement_Date,Issue,Issue_No,Status,Country,Maturity,Amt,Company,Company_No,Prev_Rating,Prev_Time,Curr_Rating,Curr_Time
26292,Valid,Others,,,,,,,,,,,,,
26333,Valid,Others,,,,,,,,,,,,,
26343,Valid,Others,,,,,,,,,,,,,
26401,Valid,Others,,,,,,,,,,,,,
26502,Valid,Others,,,,,,,,,,,,,
26504,Valid,Others,,,,,,,,,,,,,
26599,Valid,Others,,,,,,,,,,,,,
26600,Valid,Others,,,,,,,,,,,,,
26633,Valid,Others,,,,,,,,,,,,,
26657,Valid,Others,,,,,,,,,,,,,
26715,Valid,Others,,,,,,,,,,,,,
26716,Valid,Update,"April 21, 2004  ",,,,,,,,,,,,
26750,Valid,Others,,,,,,,,,,,,,
26751,Valid,Others,,,,,,,,,,,,,
26792,Valid,Others,,,,,,,,,,,,,
26814,Valid,Others,,,,,,,,,,,,,
26839,Valid,Others,,,,,,,,,,,,,
26937,Valid,Others,,,,,,,,,,,,,
26938,Valid,Update,"April 26, 2004  ",,,,,,,,,,,,
26990,Valid,Others,,,,,,,,,,,,,
27035,Valid,Others,,,,,,,,,,,,,
27073,Valid,Others,,,,,,,,,,,,,
27124,Valid,Update,"April 28, 2004  ",,,,,,,,,,,,
27164,Valid,Others,,,,,,,,,,,,,
27180,Valid,Others,,,,,,,,,,,,,
27227,Valid,Others,,,,,,,,,,,,,
27233,Valid,Update,"April 30, 2004  ",,,,,,,,,,,,
27274,Valid,Others,,,,,,,,,,,,,
27326,Valid,Others,,,,,,,,,,,,,
27343,Valid,Others,,,,,,,,,,,,,
27350,Valid,Others,,,,,,,,,,,,,
27362,Valid,Others,,,,,,,,,,,,,
27363,Valid,Others,,,,,,,,,,,,,
27411,Valid,Others,,,,,,,,,,,,,
27481,Valid,Others,,,,,,,,,,,,,
27485,Valid,Others,,,,,,,,,,,,,
27555,Valid,Others,,,,,,,,,,,,,
27614,Valid,Others,,,,,,,,,,,,,
27627,Valid,Others,,,,,,,,,,,,,
27721,Valid,Others,,,,,,,,,,,,,
27817,Valid,Others,,,,,,,,,,,,,
27843,Valid,Others,,,,,,,,,,,,,
27874,Valid,Others,,,,,,,,,,,,,
27890,Valid,Others,,,,,,,,,,,,,
27926,Valid,Update,"May 19, 2004  ",,,,,,,,,,,,
27927,Valid,Others,,,,,,,,,,,,,
27933,Valid,Others,,,,,,,,,,,,,
27934,Valid,Others,,,,,,,,,,,,,
27947,Valid,Others,,,,,,,,,,,,,
27961,Valid,Others,,,,,,,,,,,,,
27987,Valid,Others,,,,,,,,,,,,,
